,simulation,subset,run,timestep,prices,trades,substep,index_price,basket_price
35,0,0,1,35,"Prices(index_price=228.03115463591777, basket_price=226.4590416594579)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,228.03115463591777,226.4590416594579
36,0,0,1,36,"Prices(index_price=227.73301202943955, basket_price=230.49396396143905)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,227.73301202943955,230.49396396143905
37,0,0,1,37,"Prices(index_price=237.94416496230443, basket_price=246.97763239234092)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,237.94416496230443,246.97763239234092
38,0,0,1,38,"Prices(index_price=264.29545513071605, basket_price=264.29545513071605)","Trades(arbitrage=True, momentum_buy=False, momentum_sell=False)",3,264.29545513071605,264.29545513071605
39,0,0,1,39,"Prices(index_price=263.51059286606335, basket_price=261.8199738074649)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,263.51059286606335,261.8199738074649
40,0,0,1,40,"Prices(index_price=259.81242226279886, basket_price=260.4807286336616)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,259.81242226279886,260.4807286336616
41,0,0,1,41,"Prices(index_price=246.40676136515046, basket_price=249.4291439024151)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,246.40676136515046,249.4291439024151
42,0,0,1,42,"Prices(index_price=234.33113227614655, basket_price=234.213742421608)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=False)",3,234.33113227614655,234.213742421608
43,0,0,1,43,"Prices(index_price=213.7099837233445, basket_price=216.57428349938834)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,213.7099837233445,216.57428349938834
44,0,0,1,44,"Prices(index_price=230.16978283766, basket_price=239.86441550891027)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,230.16978283766,239.86441550891027
45,0,0,1,45,"Prices(index_price=226.9732245013579, basket_price=236.1506885295643)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,226.9732245013579,236.1506885295643
46,0,0,1,46,"Prices(index_price=221.35011380492784, basket_price=233.33961801723046)","Trades(arbitrage=False, momentum_buy=False, momentum_sell=True)",3,221.35011380492784,233.33961801723046
